Object,Score,Time
Tire,6.650004,1.451439
Pitcher,6.500004,0.8339901
Fan,6.450004,1.479107
Toy Truck,6.400003,0.790678
Flashlight,6.400003,0.9298248
Red Bottle,6.400003,0.7924919
Blue Alarm Clock,6.350003,0.7329807
Books,6.350003,0.763073
Microphone,6.250003,0.7397919
Brush,6.450004,1.026936
Spoon,6.300003,0.758997
Spray Bottle,6.200003,0.6772957
Tape,6.550004,1.076797
Headphones,6.350003,0.7114525
Tennis Ball,6.350003,0.7342625
Glasses,6.300003,0.7451382
Running Shoe,6.300003,0.8130283
Grater,6.300003,0.7319527
Briefcase,6.350003,0.8427429
Keychain,6.200003,0.757309
Laptop Bag,6.050002,0.6663857
Screwdriver,6.000002,0.6997681
USB,6.150002,0.7218819
Green Balloon,6.200003,0.6779022
Stapler,6.050002,0.7891312
Suitcase,6.200003,0.7888145
Slipper,6.300003,0.7443428
Sunglasses,6.250003,0.8337402
Planter,6.350003,1.355175
Pot,6.350003,0.8006706
Telephone,6.400003,0.7114182
Weights,6.200003,0.8217278
Kettle,6.350003,0.8002777
Blue Bag,6.200003,0.7106056
Hat,6.250003,0.711113
Square Clock,6.200003,0.679039
Wine Bottle,4.899998,0.9098549
Ribbon Ball,6.600004,0.878109
Ping Pong,4.899998,0.7891541
Blue Soap Bottle,6.150002,0.6662064
Girl,4.899998,2.07761
Bloody Axe,6.150002,3.422062
Cargo,4.799997,0.8449326
Cauldron,6.250003,0.6219101
Duck,4.799997,3.689297
Bloody Chair,6.300003,0.7220879
Bloody Baseball Bat,4.799997,0.7657814
Backpack,6.050002,1.156807
Butcher,6.400003,1.019447
Lamp,4.749997,0.7769012
Old Man,6.150002,0.6330414
Traffic Cone,4.799997,0.8249893
Bloody Snowman,6.100002,0.7010345
Deer,4.899998,0.7771759
Snake,6.150002,0.8107758
Grandfather Clock,4.849998,0.7671585
Snail,6.300003,0.7327728
Lizard,4.899998,0.8345108
Woman,6.100002,0.6544037
Electric Kettle,4.849998,0.7893906
Zombie,6.150002,0.6735916
Broom,4.799997,0.7924347
Worm Monster,6.200003,0.7543106
Bat,4.849998,0.7683563
Alligator,6.150002,0.8336639
Goblin Trophy,4.849998,1.121399
Desk Lamp,6.100002,0.7227402
Globe,4.799997,0.711174
Fish,6.000002,0.6561356
Scary Mask,4.949998,0.7108383
Cockroach,6.050002,0.8543015
Severed Arm,4.849998,0.7005386
Jar,6.000002,1.078926
Guillotine,4.849998,0.71138
Creepy Girl,6.200003,0.7209244
Sitting Man,4.799997,0.8011017
Chicken,6.050002,0.9329681
Mailbox,4.799997,0.8888931
Skull,6.150002,0.6890488
Doll Head,4.849998,0.7112198