Scene,Scene Condition,Indoors/Outdoors,Scene Complexity,Ohject 1,Object 2,Movement Points,Walking Time,Rating,Rating Time
Park,Neutral,Outdoors,Simple,Traffic Cone,Glasses,(0; 0) (0.5668068; 0.3632984) (3.280373; 1.51066) (5.609253; 3.406197) (8.430641; 4.198774) (13.55; 5.085001) ,5.921156,4.699997,0.5643539
Kitchen,Neutral,Indoors,Simple,Snail,Books,(0; 0) (-1.443787; 1.390137) (-3.67627; 2.161835) (-7.718018; 1.250793) ,3.536434,5.45,1.003857
Hospital,Negative,Indoors,Simple,Kettle,Bloody Snowman,(0; 0) (1.669983; 0.7402344) (4.429504; 1.550446) (5.206787; 2.740234) (6.710083; 3.845795) (8.757751; 4.226868) (11.47968; 3.441071) (14.45685; 4.248016) ,7.103897,4.649997,0.7640476
Lab,Negative,Indoors,Simple,Pot,Skull,(0; 0) (-0.572998; 1.400696) (-1.957977; 3.960358) (-4.070892; 7.079773) ,3.734756,6.450004,0.6292229
SeaPort,Negative,Outdoors,Complex,Suitcase,Guillotine,(0; 0) (0.1891479; 1.897915) (0.04144669; 4.874672) (0.2247391; 7.826324) (-0.02748871; 10.49298) (-0.03977966; 12.87998) (-0.5140343; 15.79067) (-0.8479996; 19.13) ,7.604904,5.049998,0.5668221
Forest,Neutral,Outdoors,Complex,Fish,Spoon,(0; 0) (-0.3883362; -1.919006) (-0.8839111; -4.829224) (-1.239044; -6.670105) (-1.51532; -8.055664) (-1.560974; -11.09396) ,5.252026,6.250003,0.6082649
LivingRoom,Neutral,Indoors,Complex,Electric Kettle,Square Clock,(0; 0) (-0.1062012; 1.513824) (-0.796875; 4.318542) (-2.377075; 6.842316) ,3.09634,4.599997,0.5331726
Library,Negative,Indoors,Complex,Ping Pong,Bloody Chair,(0; 0) (-0.595459; 0.2427673) (-2.645844; 1.714417) (-7.242035; 3.235992) ,3.992397,5.5,0.936821
Desert,Negative,Outdoors,Simple,Scary Mask,Hat,(0; 0) (0.4888382; 0.4703999) (0.4275932; 2.207611) (-1.985424; 3.996544) (-3.492596; 6.452132) (-5.497066; 8.224516) (-7.179646; 9.916903) (-8.26218; 14.239) ,7.598301,6.500004,0.6740875
Office,Neutral,Indoors,Simple,Globe,Wine Bottle,(0; 0) (-0.1864622; 0.3388777) (-1.502526; 2.994936) (-2.214013; 5.866814) (-3.615; 9.052001) ,4.61618,7.000006,0.7523041